movie_title,trailer_title,channel_name,video_id,published_at,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment
Sangee,_HFbuL2-Lew,Sangee | Official Trailer | Sharib Hashmi | Vidya M | Sanjay B | Gaurav M | In Cinemas 17th January,Armoks Films,2025-01-10T15:38:06Z,447355,5516,147,50,0.5581,0.70495
Kaabil,D_AOBicQWjg,Kaabil Official Telugu Trailer | Hrithik Roshan Balam Movie Trailer | Yami Gautam | Telugu Filmnagar,Telugu Filmnagar,2016-10-28T10:20:23Z,277180,1757,63,35,0.2945,0.3818
Romeo-N-Bullet,Bbo7mKpuiaQ,Romeo N Bullet | 2017 रोमियो एंड बुलेट Full Movie | Vije Bhatia | Rishi Verma | Aditya Kumar,Reliance Entertainment Regional,2022-08-04T12:30:03Z,13449,74,8,0,,
Arjun Patiala,nR7ETMS7Eo0,"Official Trailer: Arjun Patiala | Diljit, Kriti, Varun | Dinesh V | Rohit J | Bhushan K | 26 July",T-Series,2019-06-20T05:31:08Z,27985291,256006,9482,50,0.7447,0.90485
Mannu Kya Karegga,yps_QcDqyxE,Mannu Kya Karegga Trailer | Vyom I Saachi B | Lalit Pandit | Sharad Mehra | In Cinemas 12 Sept 2025,CURIOUS EYES CINEMA,2025-08-25T15:27:59Z,10457719,122124,9119,44,0.3676,0.3612
Traffic,G7fBlPMLR3A,Traffik (2018 Movie) - Official Trailer,Codeblack Movies,2018-01-12T20:55:25Z,3747263,5146,199,0,,
Tara Vs Bilal,W9PYDBH9EhI,"Tara Vs Bilal (Trailer) Harshvardhan Rane, Sonia Rathee | Samar Iqbal | John Abraham, Bhushan Kumar",T-Series,2022-10-08T09:08:43Z,9316878,67211,2196,50,0.5207,0.76835
Aa Bhi Ja O Piya,c1IHbA62uuE,Aa Bhi Ja O Piya - Official Trailer | Dev Sharma & Smriti Kashya,Angry Birds Entertainment,2022-09-08T11:14:50Z,16,1,0,0,,
Baby John,qyRn3rPRw8w,"Baby John - Trailer | Atlee | Varun Dhawan, Keerthy Suresh, Wamiqa G, Jackie Shroff | 25th Dec",JioStudios,2024-12-09T12:00:04Z,72896688,502021,52858,50,-0.041,-0.34
Fredrick,Bum0t2CbAak,"Flashback (2021 Movie) Official Trailer – Dylan O'Brien, Maika Monroe, Hannah Gross",Lionsgate Movies,2021-04-14T16:59:49Z,1184321,8058,412,0,,
Aankhon Ki Gustaakhiyan,JbCwz-1OHWE,Aankhon Ki Gustaakhiyan Official Trailer | Vikrant M | Shanaya K | Vishal M | In Cinemas 11th July,Zee Studios,2025-07-01T13:57:27Z,11185057,44805,1876,50,0.5701,0.7265
Happy Bhag Jayegi,hCsR3Y4wsDU,"Happy Bhag Jayegi Official Trailer Diana Penty, Abhay Deol, Jimmy Sheirgill",jagtagra films .com,2016-08-08T06:49:08Z,145,1,0,0,,
Madam Chief Minister,mE_S5tUtb-s,Trailer: Madam Chief Minister | Richa Chadha | Subhash Kapoor | Bhushan Kumar | Releasing 22 January,T-Series,2021-01-06T05:30:52Z,10086412,95096,5434,50,0.338,0.43475
Bioscopewala,iNQq32twAH0,Bioscopewala Trailer | Danny Denzongpa | Geetanjali Thapa | Tisca | Adil | Deb Medhekar |Sunil Doshi,Star Studios,2018-05-09T05:30:53Z,5320896,46943,2364,50,0.4933,0.59265
Judwaa 2,DDwbjWCgxVM,Judwaa 2 Official Trailer | Varun Dhawan | Jacqueline | Taapsee | David Dhawan | Sajid Nadiadwala,Star Studios,2017-08-21T08:26:16Z,46670814,283843,18398,50,0.6433,0.8241
Kesari Veer,nDAZqAuk5eM,"Kesari Veer (Trailer) Suniel Shetty, Vivek Oberoi, Akanksha Sharma, Sooraj Pancholi | Kanu Chauhan",Panorama Studios,2025-04-29T06:50:36Z,12525037,68902,4170,50,0.3295,0.5164
Laal Singh Chaddha,1vkTTesCudE,Aamir Khan And Naga Chaitanya Become Chaddi Buddies | Laal Singh Chaddha | Netflix India,Netflix India,2022-10-16T12:30:02Z,2784094,32093,1209,50,0.472,0.59265
A Death in the Gunj,XliKkuxa_nA,A DEATH IN THE GUNJ Trailer | Festival 2016,TIFF Trailers,2016-07-26T14:38:00Z,1172591,11592,424,50,0.5896,0.7711
Flat 211,Et37NAjAG7s,Cell 211 | Official Trailer,StudiocanalUK,2011-07-08T09:57:00Z,381524,412,31,9,0.2962,0.25
Panipat,zpXnmy-6w1g,"Panipat | Official Trailer |Sanjay Dutt, Arjun Kapoor, Kriti Sanon|Ashutosh Gowariker|In Cinema Now",RelianceEntertainment,2019-11-05T06:29:17Z,53035325,869067,104804,0,,
Tere Bin Laden: Dead or Alive,bbexxeiNNEI,Tere Bin Laden - Official Theatrical Trailer - HQ,Ad-Labs Films Ltd,2010-06-08T06:19:01Z,561726,732,166,50,0.5232,0.6249
Motichoor Chaknachoor,U6J_Pkqk5Fs,"Motichoor Chaknachoor | Official Trailer | Nawazuddin Siddiqui, Athiya Shetty | 15th November",Viacom18 Studios,2019-10-11T09:07:45Z,26436202,360872,7447,50,0.61,0.631
Section 375,WoaEYD5G_no,Section 375 official trailer |Akshay Khanna | Richa Chadha | Ajay Bahl | Releasing 13 sep. 2019,Official Trailers Media,2019-09-11T18:09:47Z,319852,1073,84,0,,
Mona Darling,v6EoprrZrj8,Official Movie Trailer I mona darling I Feb 24th 2017,First Ray Films,2017-01-25T07:04:01Z,22144,4,2,1,0,0
Sallu Ki Shaadi,m4jtofvxgZs,Sallu Ki Shaadi Official Trailer 2 | Kashyap | Arshin | Zeenat Aman | Kiran Kumar | Asrani,Aman Films Production,2018-05-10T15:04:56Z,20206,81,6,0,,
Major,PAv1Ke07QAM,MAJOR Trailer - Hindi | Adivi Sesh | Saiee M | Sobhita D | Mahesh Babu - In Cinemas June 3rd,Sony Pictures Films India,2022-05-09T11:29:05Z,31391051,775329,23840,0,,
Phillauri,uCTr7MGFK0U,Phillauri | Official Trailer | Anushka Sharma | Diljit Dosanjh | Suraj Sharma | Anshai Lal,Star Studios,2017-02-06T05:46:40Z,21570635,143476,5928,50,0.608,0.7332
Chehre,W4WTPps4zM8,"Chehre: Official Trailer | Amitabh Bachchan, Emraan Hashmi | Rumy J | Anand Pandit | 27th August 21",Anand Pandit Motion Pictures,2021-03-18T07:00:15Z,13220008,244007,15905,50,0.2997,0.4588
Simran,_LUe4r6eeQA,Simran Official Trailer | Kangana Ranaut |  Hansal Mehta | T-Series,T-Series,2017-08-08T12:45:29Z,13544977,118089,5186,50,0.492,0.65795
Animal,_YhSSfXmr9c,"SPIRIT - #OneBadHabit (Hindi) | PRABHAS | Triptii D, Vivek Oberoi | Sandeep R Vanga | Bhushan Kumar",T-Series,2025-10-23T17:14:08Z,2000272,135606,4815,0,,
Wedding Anniversary,Uk6LhwvTYrE,"Anniversary (2025) Official Trailer - Diane Lane, Kyle Chandler, Phoebe Dynevor, Dylan O'Brien",Lionsgate Movies,2025-08-19T16:01:28Z,3111482,21563,695,0,,
Panchlait,BewtxZ3KPqo,"Panchlait | Official Teaser | Amitosh Nagpal, Anuradha Mukherjee, Rajesh Sharma & Brijendra Kala",Funtime Entertainment,2017-10-26T09:30:05Z,907056,5707,90,50,0.5379,0.7357
Sitaare Zameen Par,rD3w1cZMVhk,What I disliked about Sitaare Zameen Par Film!,Dhruv Rathee Shorts,2025-06-22T15:41:09Z,6776780,485891,10498,0,,
Inn Galiyon Mein,1H2oOsFitPQ,"Inn Galiyon Mein - Movie Trailer| Javed Jaffrey, Vivaan Shah, Avantika, Sushant Singh, Ishtiyak Khan",Zee Studios,2025-03-07T14:07:17Z,17004,363,19,8,0.4309,0.53265
Laal Rang,Et46hHWedp8,KHARCH KAROD (SLOW) Video Song | LAAL RANG | Randeep Hooda | T-Series,T-Series,2016-04-07T11:58:09Z,16557822,137391,2050,11,0.2406,0
Tejas,F1gcrfMDtO8,Kangana Ranaut//Tejas Official Trailer |Tejas movie/trailer official,New films jankaree ,2023-11-02T12:58:00Z,715,3,1,0,,
Murari the Mad Gentleman,7_3cQoVSL7g,"Tera Deewana - Murari | Tanishk Bagchi | Bollywood Romantic Song | Shilpa Surroch, Biswajit",Red Ribbon Musik,2016-02-08T12:45:26Z,70796,188,23,11,0.645,0.765
Raabta,iANrABfxJaM,Raabta Official Trailer | Sushant Singh Rajput & Kriti Sanon,Global Entertainment,2017-05-07T08:15:12Z,129,1,0,0,,
Dobaara: See Your Evil,eFBmE0RTmr0,"Dobaara - See Your Evil | Official Trailer | Huma Qureshi, Saqib Saleem",B4U Motion Pictures,2017-05-09T06:30:28Z,10791712,58324,4027,0,,
Hate Story 4,g51mrP8XmAQ,"HATE STORY 4 (Full Movie): Urvashi Rautela, Vivan, Karan Wahi, Ihana Dhillon, Gulshan Grover",T-Series,2024-11-14T06:37:27Z,8495985,100074,3095,0,,
Falooda,7aXuoVfgqgs,Falooda - Refreshing Cold Beverage - Restaurant Style Falooda - Summer Special By Ruchi Bharani,Rajshri Food,2014-11-28T13:14:41Z,2508210,16663,493,50,0.5899,0.61215
The Legacy of Jineshwar,C7V1qgEHi3c,દારસ | Daras | Javed Ali |The Legacy Of Jineshwar | New Jain Song,Saregama Jain Stavans,2023-10-17T12:00:07Z,229941,1020,69,28,-0.1143,-0.296
Thackeray,Qqpl_sAcQF8,"Thackeray | Official Trailer | Nawazuddin Siddiqui, Amrita Rao | Releasing 25th January",Viacom18 Studios,2018-12-26T09:43:07Z,35609845,672673,32397,50,0.4831,0.59715
Hanuman vs Mahiravana,llXo_d0UKZw,Hanuman Vs Mahiravana 3D Movie - Theatrical Trailer | In Cinemas 6th July,Green Gold TV - Official Channel,2018-06-08T11:17:40Z,5723918,6599,0,0,,
Kuch Khattaa Ho Jaay,cFPB7FsdplI,"Kuch Khattaa Ho Jaay (Trailer): Guru Randhawa, Saiee M Manjrekar | Anupam Kher | G Ashok |Mach Films",T-Series,2024-02-07T08:39:44Z,6909974,146751,7495,50,0.4799,0.771
Tera Kya Hoga Lovely,AiuSGXFURH4,"Tera Kya Hoga Lovely | Official Trailer | Randeep Hooda, Ileana D’cruz | Releasing on 8th March 2024",Sony Pictures Films India,2024-03-10T05:48:39Z,3585322,27629,512,50,0.6698,0.8056
Dangal,x_7YlGv9u1g,"Dangal | Official Trailer | Aamir Khan | In Cinemas Dec 23, 2016",UTV Motion Pictures,2016-10-20T05:29:24Z,74045917,431305,30623,50,0.3813,0.44105
Saiyaara,BSJa1UytM8w,"Saiyaara Title Song | Ahaan Panday, Aneet Padda | Tanishk Bagchi, Faheem A, Arslan N | Irshad Kamil",YRF,2025-06-03T05:30:10Z,507377132,3935476,148321,50,0.5909,0.7611
Dil Jo Na Keh Saka,e19JCfGEbRk,Dil Jo Na Keh Saka | Himansh Kohli | Priya Banerjee | Naresh Lalwani | Full Movie,Shemaroo,2022-05-23T06:10:40Z,7798405,57128,557,0,,
Bengal 1947,3MfsZFAeNO8,THE BENGAL FILES Official Trailer | Vivek Agnihotri | Abhishek A | Pallavi J | Zee Studios | 5 Sept,Zee Studios,2025-08-16T07:30:15Z,21883747,408142,39756,0,,
Three of Us,i36Zw32GfRQ,Reminders of Him | Official Trailer,Universal Pictures,2025-10-21T15:00:23Z,21845017,21417,904,0,,
Raid 2,PQ6yUHHfZ04,The Raid 2 | Official Trailer HD (2014),Sony Pictures Classics,2014-01-23T17:24:51Z,1085683,5564,182,50,0.3607,0.42115
The Diplomat,lV6sJlBbhPs,The Diplomat | Official Trailer | Netflix,Netflix,2023-04-05T14:00:02Z,3122966,21240,1120,50,0.703,0.77425
Shaadi Mein Zaroor Aana,pK0dr5wZ0bk,"Shaadi Mein Zaroor Aana (2017) Full Hindi Movie (4K) Rajkumar Rao, Kriti Kharbanda | Bollywood Movie",Ultra Movie Parlour,2024-04-16T11:34:42Z,76580584,887585,33563,0,,
12th Fail,KjbtuqENvVE,"12th Fail - Official Trailer | Vidhu Vinod Chopra | In Cinemas Worldwide 27th October, 2023",Zee Studios,2023-10-03T05:30:45Z,25437577,204002,6919,50,0.4413,0.6369
Selfiee,Ec2yJUY5KtQ,"SELFIEE Official Trailer | Akshay Kumar, Emraan, Nushrratt, Diana | Raj Mehta | In Cinemas Feb 24",Star Studios,2023-01-22T09:20:09Z,37599401,580803,38446,50,0.2041,0.1351
Great Grand Masti,ZojV0FC-KdI,"Great Grand Masti Official Trailer | Riteish, Vivek, Aftab, Urvashi",balajimotionpictures,2016-06-16T15:21:37Z,23229664,57111,0,0,,
Mere Desh Ki Dharti,vC73sFPIFzU,Mere Desh Ki Dharti Full Movie HD - CARNIVAL MOTION PICTURES,Carnival Motion Pictures,2023-06-29T09:07:03Z,12932508,207152,7260,0,,
Rashtra Kavach Om,coJrnPbbmwg,Rashtra Kavach Om | Official Trailer | Watch Now on ZEE5,ZEE5,2022-08-01T11:06:33Z,23911008,10217,269,0,,
Andhadhun,2iVYI99VGaw,AndhaDhun | Official Trailer | Tabu | Ayushmann Khurrana | Radhika Apte | 5th October,Viacom18 Studios,2018-09-01T21:12:32Z,28515281,243765,9016,0,,
Mr. & Mrs. Mahi,TVbI55pDdaI,"Tu Hain Toh | Mr. & Mrs. Mahi | Rajkummar Rao, Janhvi Kapoor | Hunny, Bunny, Sagar | Team Jaani",Sony Music India,2024-06-03T11:30:12Z,129919985,526761,6782,0,,
Nikamma,LCEMoVCaUOw,"Nikamma - Shilpa Shetty, Abhimanyu, Shirley | Javed Mohsin, Dev, Payal, Danish, Deane",Sony Music India,2022-05-24T05:30:02Z,50847767,440729,20741,50,0.5524,0.75775
Chhaava,nsC5PhXS19Y,Chhaava Teaser | Vicky Kaushal | Rashmika M | Akshaye K | Dinesh V | Laxman U | 14th Feb 2025,Maddock Films,2024-08-19T05:29:33Z,30883926,506567,24108,50,0.3411,0.4496
Jigra,1z64b54DKEI,NEW MOVIE | JIGRA - OFFICIAL THEATRICAL TRAILER | Alia Bhatt | Vedang Raina | Vasan Bala,StyleWave Studios,2024-09-11T01:36:36Z,2643,64,0,0,,
Gali Guleiyan,itPkmai3BY8,Gali Guleiyan - In the Shadows | India Official Trailer | Manoj Bajpayee | Dipesh Jain | 7th Sept,Worldwide Records INDIA,2018-08-24T13:43:28Z,470275,6707,214,0,,
Adipurush,jF5rJAXUY4A,Adipurush (Official Teaser) Hindi | Prabhas | Saif Ali Khan | Kriti Sanon | Om Raut | Bhushan Kumar,T-Series,2022-10-02T13:40:12Z,110377936,1795732,91103,50,0.2517,0.39135
Tu Jhoothi Main Makkaar,2yeRRm9AIxI,"Pyaar Hota Kayi Baar Hai (Full video) Tu Jhoothi Main Makkaar |Ranbir,Shraddha,Pritam,Arijit,Amitabh",T-Series,2023-03-22T13:30:11Z,151659581,628295,9009,50,0.4825,0.65765
Bell Bottom,A6eZ49O67YQ,"BellBottom | Official Trailer | Akshay Kumar | Vaani | Vashu, Jackky Bhagnani | Huma | Aug 19, 2021",Pooja Entertainment,2021-08-03T13:00:09Z,53809097,857219,111266,50,0.4119,0.4019
Sarfira,8Iy2geJD8HY,Sarfira – Official Trailer | Akshay Kumar | Paresh Rawal | Radhikka | Sudha Kongara | 12th July 2024,Abundantia Entertainment,2024-06-18T06:36:01Z,83804275,812431,34804,50,0.2499,0.44015
Operation Valentine,CRazFLVBhw4,"Operation Valentine | Official Hindi Teaser | Varun Tej, Manushi Chhillar| In Cinemas 1st March 2024",Sony Pictures Films India,2023-12-18T10:32:33Z,8875561,35086,2078,50,0.3186,0.48335
Akelli,KJhgqXku6jI,Akelli - Official Trailer | Nushrratt Bharuccha | 25th August,Dashami,2023-08-04T09:15:12Z,10768455,35648,9936,50,0.3832,0.51685
Kesari,JFP24D15_XM,Kesari | Official Trailer | Akshay Kumar | Parineeti Chopra | Anurag Singh,Dharma Productions,2019-02-21T05:28:13Z,62115716,1209451,79769,50,0.4315,0.65885
Yaatris,N2aoN5pZ6lo,Yaatris - Official Trailer | Raghubir Yadav| Seema Pahwa| Jamie Lever |Anuraag Malhan|Chahatt Khanna,Zee Music Company,2023-11-08T07:36:39Z,278462,908,54,41,0.4832,0.5994
Dear Dad,X7Bt9kjCf0E,"Dear Father Gujarati Movie | Official Trailer | Paresh Rawal, Mansi Parekh, Chetan Dhanani",Venus Movies,2022-02-11T05:30:04Z,1693481,31298,967,0,,
October,Mod_oXpftJA,"Thamma Official Trailer | Ayushmann, Rashmika, Paresh, Nawazuddin | In Cinemas This Diwali- 21st Oct",Maddock Films,2025-09-26T12:49:58Z,90154797,670316,43463,0,,
Mahavatar Narsimha,wkOYEhjAXyo,"Mahavatar Narsimha Official Teaser (Hindi) | Hombale Films | Kleem Productions | April 3, 2025",Hombale Films,2025-01-14T07:03:00Z,3167136,133924,4669,50,0.2234,0
Bheed,lGAKZ6L9IVo,"Bheed | Official Trailer | Rajkummar Rao, Bhumi Pednekar, Anubhav Sinha | 24 March 2023",T-Series,2023-03-17T08:49:21Z,3227896,68679,3619,50,0.246,0.25715
Nawabzaade,7G77hHNBO8w,OFFICIAL TRAILER: NAWABZAADE | Raghav | Punit | Dharmesh | Isha |  Movie Releasing ► 27July 2018,T-Series,2018-07-12T07:36:10Z,18285221,286415,8184,50,0.7164,0.84785
Ek Ladki Ko Dekha Toh Aisa Laga,fTauOK8J-U8,Ek Ladki ko dekha - Full Video HD | 1942 A love story | Anil Kapoor | Manisha Koirala,Vidhu Vinod Chopra Films,2016-04-15T13:48:27Z,50219792,333614,8961,47,0.4204,0.4767
Tu Hai Mera Sunday,W3cgHjja-X0,TU HAI MERA SUNDAY (YOU ARE MY SUNDAY) :: IN CINEMAS 6 OCTOBER 2017 (SG),Golden Village Pictures,2017-09-13T06:55:17Z,6063,17,0,0,,
Tumko Meri Kasam,YzUP-V5-lhI,"Tumko Meri Kasam - Official Trailer | Anupam Kher, Adah Sharma, Ishwak Singh, Esha Deol | 21st March",Zee Music Company,2025-03-04T07:00:28Z,10824145,62636,4458,50,0.3223,0.39185
