Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min),trailer_title,channel_name,video_id,published_at,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment,Production_House_Score_Raw,Production_House_Score,Director_Score_Raw,Director_Score
Falooda,2018,Hindi,0.006,Dev Gayati Entertainment,18-05-2018,Drama,Dheeraj Singh,122,7aXuoVfgqgs,Falooda - Refreshing Cold Beverage - Restaurant Style Falooda - Summer Special By Ruchi Bharani,Rajshri Food,2014-11-28,2508210,16663,493,50,0.5899,0.61215,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
The Legacy of Jineshwar,2024,Hindi,0.05,Mahaveer Talkies,19-04-2024,Drama,"Pradeep P. Jadhav , Vivek Iyer",119,C7V1qgEHi3c,Ã ÂªÂ¦Ã ÂªÂ¾Ã ÂªÂ°Ã ÂªÂ¸ | Daras | Javed Ali |The Legacy Of Jineshwar | New Jain Song,Saregama Jain Stavans,2023-10-17,229941,1020,69,28,-0.1143,-0.296,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Thackeray,2019,Hindi,6.0,"Viacom 18 Motion Pictures, Carnival Motion Pictures, Rauters Entertainment",25-01-2019,"Biographical, Drama",Abhijit Panse,138,Qqpl_sAcQF8,"Thackeray | Official Trailer | Nawazuddin Siddiqui, Amrita Rao | Releasing 25th January",Viacom18 Studios,2018-12-26,35609845,672673,32397,50,0.4831,0.59715,7.208999999999999,30.236879653234688,8.663776988636364,15.630749131525878
Hanuman vs Mahiravana,2018,Hindi,0.9,"Gamaya, Green Gold Animation",06-07-2018,Animation,Ezhil Vendan,91,llXo_d0UKZw,Hanuman Vs Mahiravana 3D Movie - Theatrical Trailer | In Cinemas 6th July,Green Gold TV - Official Channel,2018-06-08,5723918,6599,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Kuch Khattaa Ho Jaay,2024,Hindi,0.25,Mach Films,16-02-2024,"Family, Drama",G Ashok,125,cFPB7FsdplI,"Kuch Khattaa Ho Jaay (Trailer): Guru Randhawa, Saiee M Manjrekar | Anupam Kher | G Ashok |Mach Films",T-Series,2024-02-07,6909974,146751,7495,50,0.4799,0.771,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Dangal,2016,Hindi,29.78,"Aamir Khan Productions, Disney India Studio",23-12-2016,"Biographical, Sports",Nitesh Tiwari,161,x_7YlGv9u1g,"Dangal | Official Trailer | Aamir Khan | In Cinemas Dec 23, 2016",UTV Motion Pictures,2016-10-20,74045917,431305,30623,50,0.3813,0.44105,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Saiyaara,2025,Hindi,22.0,Yash Raj Films,18-07-2025,"Romance, Drama",Mohit Suri,156,BSJa1UytM8w,"Saiyaara Title Song | Ahaan Panday, Aneet Padda | Tanishk Bagchi, Faheem A, Arslan N | Irshad Kamil",YRF,2025-06-03,507377132,3935476,148321,50,0.5909,0.7611,19.490714285714287,100.0,13.106666666666664,25.951449920631845
Dil Jo Na Keh Saka,2017,Hindi,1.1,"PVR Pictures, Diyas Productions Pvt. Ltd",17-11-2017,Romance,Naresh Lalwani,130,e19JCfGEbRk,Dil Jo Na Keh Saka | Himansh Kohli | Priya Banerjee | Naresh Lalwani | Full Movie,Shemaroo,2022-05-23,7798405,57128,557,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Bengal 1947,2024,Hindi,0.03,Platoon Distribution,29-03-2024,"Period, Drama",Akashaditya Lama,0,3MfsZFAeNO8,THE BENGAL FILES Official Trailer | Vivek Agnihotri | Abhishek A | Pallavi J | Zee Studios | 5 Sept,Zee Studios,2025-08-16,21883747,408142,39756,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Three of Us,2023,Hindi,0.3,"Allu Entertainment, Matchbox Shots",03-11-2023,Drama,Avinash Arun Dhaware,100,i36Zw32GfRQ,Reminders of Him | Official Trailer,Universal Pictures,2025-10-21,21845017,21417,904,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Raid 2,2025,Hindi,19.71,"Panorama Studios, T-Series Super Cassettes Industries Ltd.",01-05-2025,"Crime, Thriller",Rajkumar Gupta,139,PQ6yUHHfZ04,The Raid 2 | Official Trailer HD (2014),Sony Pictures Classics,2014-01-23,1085683,5564,182,50,0.3607,0.42115,8.906391304347826,39.87847455489328,10.616666666666667,20.167253861938136
The Diplomat,2025,Hindi,4.03,"JA Entertainment Pvt. Ltd., T-Series Super Cassettes Industries Ltd., Wakaoo Films, Seeta Films, Fortune Pictures",14-03-2025,"Action, Thriller",Shivam Nair,137,lV6sJlBbhPs,The Diplomat | Official Trailer | Netflix,Netflix,2023-04-05,3122966,21240,1120,50,0.703,0.77425,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Shaadi Mein Zaroor Aana,2017,Hindi,0.75,"Soham Rockstar Entertainment, Soundrya Productions",10-11-2017,"Comedy, Drama",Ratnaa Sinha,137,pK0dr5wZ0bk,"Shaadi Mein Zaroor Aana (2017) Full Hindi Movie (4K) Rajkumar Rao, Kriti Kharbanda | Bollywood Movie",Ultra Movie Parlour,2024-04-16,76580584,887585,33563,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
12th Fail,2023,Hindi,1.1,"Vidhu Vinod Chopra Productions, Zee Studios",27-10-2023,"Biographical, Drama",Vidhu Vinod Chopra,147,KjbtuqENvVE,"12th Fail - Official Trailer | Vidhu Vinod Chopra | In Cinemas Worldwide 27th October, 2023",Zee Studios,2023-10-03,25437577,204002,6919,50,0.4413,0.6369,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Selfiee,2023,Hindi,3.0,"Star Studio, Dharma Productions, Cape of Good Films, Prithviraj Productions",24-02-2023,"Drama, Comedy",Raj Mehta,143,Ec2yJUY5KtQ,"SELFIEE Official Trailer | Akshay Kumar, Emraan, Nushrratt, Diana | Raj Mehta | In Cinemas Feb 24",Star Studios,2023-01-22,37599401,580803,38446,50,0.2041,0.1351,9.3215,42.23639277527201,8.663776988636364,15.630749131525878
Great Grand Masti,2016,Hindi,2.5,"Maruti International, ALT Entertainment, Shri Adhikari Bros",15-07-2016,"Adult, Comedy",Indra Kumar,133,ZojV0FC-KdI,"Great Grand Masti Official Trailer | Riteish, Vivek, Aftab, Urvashi",balajimotionpictures,2016-06-16,23229664,57111,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Mere Desh Ki Dharti,2022,Hindi,8.5,Carnival Motion Pictures,06-05-2022,"Drama, Patriotic",Faraz Haider,124,vC73sFPIFzU,Mere Desh Ki Dharti Full Movie HD - CARNIVAL MOTION PICTURES,Carnival Motion Pictures,2023-06-29,12932508,207152,7260,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Rashtra Kavach Om,2022,Hindi,1.5,"Paperdoll Entertainment, Zee Studios",01-07-2022,"Action, Thriller",Kapil Verma,135,coJrnPbbmwg,Rashtra Kavach Om | Official Trailer | Watch Now on ZEE5,ZEE5,2022-08-01,23911008,10217,269,0,,,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Andhadhun,2018,Hindi,2.7,"Matchbox Pictures, Viacom 18 Motion Pictures",05-10-2018,"Drama, Crime, Suspense, Thriller",Sriram Raghavan,139,2iVYI99VGaw,AndhaDhun | Official Trailer | Tabu | Ayushmann Khurrana | Radhika Apte | 5th October,Viacom18 Studios,2018-09-01,28515281,243765,9016,0,,,7.208999999999999,30.236879653234688,8.663776988636364,15.630749131525878
Chhaava,2025,Hindi,31.0,Maddock Films,14-02-2025,"Historical, Drama",Laxman Utekar,161,nsC5PhXS19Y,Chhaava Teaser | Vicky Kaushal | Rashmika M | Akshaye K | Dinesh V | Laxman U | 14th Feb 2025,Maddock Films,2024-08-19,30883926,506567,24108,50,0.3411,0.4496,12.235454545454546,58.78836238720199,14.833333333333334,29.962445313407414
Jigra,2024,Hindi,4.55,"Dharma Productions, Eternal Sunshine Productions, Viacom18 Studio",11-10-2024,"Action, Drama",Vasan Bala,155,1z64b54DKEI,NEW MOVIE | JIGRA - OFFICIAL THEATRICAL TRAILER | Alia Bhatt | Vedang Raina | Vasan Bala,StyleWave Studios,2024-09-11,2643,64,0,0,,,9.3215,42.23639277527201,8.663776988636364,15.630749131525878
Gali Guleiyan,2018,Hindi,0.1,Exstant Motion Pictures,07-09-2018,Drama,Dipesh Jain,117,itPkmai3BY8,Gali Guleiyan - In the Shadows | India Official Trailer | Manoj Bajpayee | Dipesh Jain | 7th Sept,Worldwide Records INDIA,2018-08-24,470275,6707,214,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Adipurush,2023,Hindi,36.0,"T-Series Super Cassettes Industries Ltd., Retrophiles Productions",16-06-2023,"Mythological, Drama",Om Raut,179,jF5rJAXUY4A,Adipurush (Official Teaser) Hindi | Prabhas | Saif Ali Khan | Kriti Sanon | Om Raut | Bhushan Kumar,T-Series,2022-10-02,110377936,1795732,91103,50,0.2517,0.39135,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Tu Jhoothi Main Makkaar,2023,Hindi,15.73,"T-Series Super Cassettes Industries Ltd., Luv Films",08-03-2023,"Romance, Comedy",Luv Ranjan,159,2yeRRm9AIxI,"Pyaar Hota Kayi Baar Hai (Full video) Tu Jhoothi Main Makkaar |Ranbir,Shraddha,Pritam,Arijit,Amitabh",T-Series,2023-03-22,151659581,628295,9009,50,0.4825,0.65765,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Bell Bottom,2021,Hindi,20.92,"Pooja Entertainment India Ltd., Emmay Entertainment Pvt. Ltd",19-08-2021,"Action, Thriller",Ranjit M Tewari,125,A6eZ49O67YQ,"BellBottom | Official Trailer | Akshay Kumar | Vaani | Vashu, Jackky Bhagnani | Huma | Aug 19, 2021",Pooja Entertainment,2021-08-03,53809097,857219,111266,50,0.4119,0.4019,11.366249999999999,53.85106944096942,8.663776988636364,15.630749131525878
Sarfira,2024,Hindi,2.5,"Cape of Good Films, Abundantia Entertainment, 2D Entertainment",12-07-2024,"Biographical, Drama",Sudha Kongara,155,8Iy2geJD8HY,Sarfira Ã¢ÂÂ Official Trailer | Akshay Kumar | Paresh Rawal | Radhikka | Sudha Kongara | 12th July 2024,Abundantia Entertainment,2024-06-18,83804275,812431,34804,50,0.2499,0.44015,13.757777777777777,67.43552811607532,8.663776988636364,15.630749131525878
Kesari,2019,Hindi,21.06,"Dharma Productions, Cape of Good Films, Azure Entertainment, Zee Studios",21-03-2019,"Drama, Action, Patriotic, Period",Anurag Singh,150,JFP24D15_XM,Kesari | Official Trailer | Akshay Kumar | Parineeti Chopra | Anurag Singh,Dharma Productions,2019-02-21,62115716,1209451,79769,50,0.4315,0.65885,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
Yaatris,2023,Hindi,0.03,"Akion Entertainment, Thinking Bird Production",24-11-2023,"Family, Drama",Harish Vyas,108,N2aoN5pZ6lo,Yaatris - Official Trailer | Raghubir Yadav| Seema Pahwa| Jamie Lever |Anuraag Malhan|Chahatt Khanna,Zee Music Company,2023-11-08,278462,908,54,41,0.4832,0.5994,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Dear Dad,2016,Hindi,0.22,Peppermint Studios,06-05-2016,Drama,Tanuj Bhramar,95,X7Bt9kjCf0E,"Dear Father Gujarati Movie | Official Trailer | Paresh Rawal, Mansi Parekh, Chetan Dhanani",Venus Movies,2022-02-11,1693481,31298,967,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
October,2018,Hindi,4.25,Rising Sun Films Production,13-04-2018,"Drama, Romance",Shoojit Sircar,115,Mod_oXpftJA,"Thamma Official Trailer | Ayushmann, Rashmika, Paresh, Nawazuddin | In Cinemas This Diwali- 21st Oct",Maddock Films,2025-09-26,90154797,670316,43463,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Mahavatar Narsimha,2025,Hindi,1.46,Kleem Productions,25-07-2025,"Mythological, Drama",Ashwini Kumar,131,wkOYEhjAXyo,"Mahavatar Narsimha Official Teaser (Hindi) | Hombale Films | Kleem Productions | April 3, 2025",Hombale Films,2025-01-14,3167136,133924,4669,50,0.2234,0.0,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Ek Ladki Ko Dekha Toh Aisa Laga,2019,Hindi,3.3,"Vidhu Vinod Chopra Productions, Fox Star Studios, Rajkumar Hirani Films",01-02-2019,"Drama, Romance",Shelly Chopra Dhar,120,fTauOK8J-U8,Ek Ladki ko dekha - Full Video HD | 1942 A love story | Anil Kapoor | Manisha Koirala,Vidhu Vinod Chopra Films,2016-04-15,50219792,333614,8961,47,0.4204,0.4767,10.703333333333335,50.0855417531664,8.663776988636364,15.630749131525878
Tu Hai Mera Sunday,2017,Hindi,0.1,Love And Faith Films,06-10-2017,Drama,Milind Dhaimade,126,W3cgHjja-X0,TU HAI MERA SUNDAY (YOU ARE MY SUNDAY) :: IN CINEMAS 6 OCTOBER 2017 (SG),Golden Village Pictures,2017-09-13,6063,17,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Tumko Meri Kasam,2025,Hindi,0.5,Indira Entertainment,21-03-2025,"Biographical, Thriller",Vikram Bhatt,166,YzUP-V5-lhI,"Tumko Meri Kasam - Official Trailer | Anupam Kher, Adah Sharma, Ishwak Singh, Esha Deol | 21st March",Zee Music Company,2025-03-04,10824145,62636,4458,50,0.3223,0.39185,7.963697641509434,34.523745571560404,2.35,0.9640326764489524
Coffee with D,2017,Hindi,0.15,Apex Entertainment,20-01-2017,Comedy,Vishal Mishra,123,y_bdytr9fg8,Coffee With D Official Trailer | Sunil Grover | Hindi Trailer 2021 | Zakir Khan | Anjana Sukhani,Bolly Kick,2017-05-12,770541,9698,174,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Ajmer 92,2023,Hindi,1.0,"Reliance Entertainment, U&K Films Entertainment, Sumit Motion Pictures, Little Crew Pictures Production",21-07-2023,"Crime, Drama",Pushpendra Singh,0,HxJu7cV_VYI,Ajmer 92|Official Teaser|Karan Verma|Pushpendra Singh|Sumit Singh|U&K Films Entertainment|21 July,RelianceEntertainment,2023-07-13,495856,9869,897,50,0.3116,0.46715,9.027692307692307,40.567493717661755,8.663776988636364,15.630749131525878
Mitron,2018,Hindi,119.1193,Abundantia Entertainment,14-09-2018,"Comedy, Drama",Nitin Kakkar,119,Wm2R3aJPY2M,MetroÃ¢ÂÂ¦In Dino (Official Trailer) | Anurag Basu | Bhushan Kumar | Releasing in Cinemas on 4th July,T-Series,2025-06-04,34377610,445612,16754,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Saina,2021,Hindi,0.05,"T-Series Super Cassettes Industries Ltd., Front Foot Pictures",26-03-2021,"Biographical, Sports",Amole Gupte,133,_PGEsEe33GY,"Saina - New Trailer | Parineeti Chopra, Eshan Naqvi, Shubhrajyoti Barat |Amazon Prime Video|April 23",Prime Video India,2021-04-16,4257939,2638,159,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Game Over,2017,Hindi,0.03,"Dream Machine Pvt. Ltd., Koning Entertainment, Dream International",08-12-2017,"Suspense, Adult, Thriller",Paresh Vinodray Savani,143,BY-R6NcnkbE,Game Over| Hindi Official Trailer | Taapsee Pannu| Ashwin Saravanan | Y Not Studios | June 14,RelianceEntertainment,2019-05-30,11216332,94755,2789,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Emergency,2025,Hindi,2.0,"Manikarnika Films, Zee Studios",17-01-2025,"Historical, Drama",Kangana Ranaut,148,ZWu2jk7IYv0,"Emergency | Official Trailer 2 |  Kangana Ranaut | In Cinemas 17th January, 2025",Zee Studios,2025-01-06,12005376,58699,4826,50,0.3344,0.6114,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878
3 Storeys,2018,Hindi,0.36,"B4U Motion Pictures, Excel Entertainment, An Open Air Films Production",09-03-2018,"Drama, Romance, Suspense, Thriller",Arjun Mukerjee,100,niGkWc512fw,3 Storeys Official Trailer | Richa | Renuka Shahane | Pulkit | Masumeh | Sharman | Ankit | Aisha,Excel Movies,2018-02-07,4828099,14176,448,50,0.4171,0.59265,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Metro... In Dino,2025,Hindi,3.35,"T-Series Super Cassettes Industries Ltd., Anurag Basu Productions",04-07-2025,"Romance, Drama",Anurag Basu,162,UEZm0U6KrfY,"MetroÃ¢ÂÂ¦In Dino: Zamaana Lage (Song) | Anurag Basu | Pritam | Arijit Singh, Shashwat S | Bhushan Kumar",T-Series,2025-05-28,60671663,605123,29363,0,,,8.906391304347826,39.87847455489328,5.96,9.349955476402494
Trahimam,2022,Hindi,0.005,"Achleshwar Film, Dushyant Corporation",16-12-2022,"Action, Drama",Dushyant Pratap Singh,74,jgOi9JB4-KI,Trahimam (Trailer) Arshi Khan Pankaj Berry Directed By Dushyant Pratap Singh,Dushyant Corporation,2022-11-01,34218,279,14,9,0.7014,0.7783,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
102 Not Out,2018,Hindi,3.52,"Benchmark Pictures, Treetop Entertainment, Sony Pictures",04-05-2018,"Comedy, Drama, Family",Umesh Shukla,102,qrks9Zu0f1w,102 Not Out | Official Trailer | Amitabh Bachchan | Rishi Kapoor | Umesh Shukla | In Cinemas May 4th,Sony Pictures India,2018-03-28,17680514,192538,6501,50,0.6237,0.717,7.963697641509434,34.523745571560404,1.935,0.0
Evening Shadows,2019,Hindi,0.02,Solaris Pictures,11-01-2019,Drama,Sridhar Rangayan,102,iDpqasfWF9k,EVENING SHADOWS | OFFICIAL TRAILER | SRIDHAR RANGAYAN,Solaris Pictures,2017-05-27,203938,2141,370,50,0.6495,0.7933,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Noor,2017,Hindi,0.02,"T-Series Super Cassettes Industries Ltd., Abundantia Entertainment",21-04-2017,"Drama, Social",Sunhil Sippy,116,DHuM6C6EyXE,Noor Official Trailer | Sonakshi Sinha | Sunhil Sippy | Releasing on 21 April 2017 | T-Series,T-Series,2017-03-07,14335208,59091,2839,50,0.5605,0.66645,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Do Aur Do Pyaar,2024,Hindi,0.6,"Applause Entertainment, Ellipsis Entertainment",19-04-2024,"Family, Drama",Shirsha Guha Thakurta,139,lZCWcsfc5Ho,"Do Aur Do Pyaar - Official Trailer | Vidya B, Pratik G, Ileana D, Sendhil R | Applause Entertainment",Applause Entertainment,2024-04-06,17230817,29048,651,50,0.5737,0.7676,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Lakadbaggha,2023,Hindi,0.11,First Ray Films,13-01-2023,"Action, Drama",Victor Mukherjee,129,hep-UIKFg_Y,"Lakadbaggha - Official Trailer | Anshuman Jha, Ridhi Dogra, Milind Soman & Paresh Pahuja | 13th Jan",Zee Music Company,2023-01-03,3582376,87777,3080,50,0.4133,0.5915,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Baar Baar Dekho,2016,Hindi,0.1,"Dharma Productions, Excel Entertainment, Eros International",09-09-2016,Comedy,Nitya Mehra,141,3uPtQp8ZT-Q,Baar Baar Dekho Official Trailer with English Subtitles | Katrina Kaif | Sidharth Malhotra,Eros n0w Official,2016-08-03,645979,9336,220,0,,,9.3215,42.23639277527201,8.663776988636364,15.630749131525878
5 Weddings,2018,Hindi,94.943,UniGlobe Entertainment,26-10-2018,"Comedy, Drama",Namrata Singh Gujral,94,gN7AeJ-mEIA,"'5 Weddings' | 26 OCT |  Nargis Fakhri, Rajkummar Rao, Bo Derek, Candy Clark",UniGlobe Entertainment,2018-06-05,10772443,74672,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
I Want to Talk,2024,Hindi,0.2,"Rising Sun Films Production, Kino Works",22-11-2024,"Biographical, Drama",Shoojit Sircar,122,kZXlMsupVz8,I Want To Talk - Trailer | Shoojit Sircar | Abhishek A Bachchan | Rising Sun Films | Kino Works,Times Music,2024-11-05,877384,11056,560,50,0.5705,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Bharat,2019,Hindi,42.3,"T-Series Super Cassettes Industries Ltd., Salman Khan Films, Reel Life Production Pvt Ltd",05-06-2019,"Family, Drama",Ali Abbas Zafar,167,Ea_GKoe81GY,BHARAT | Official Trailer | Salman Khan | Katrina Kaif | Movie Releasing On 5 June 2019,T-Series,2019-04-22,78821846,1293204,87903,50,0.4278,0.60335,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Ram Setu,2022,Hindi,15.25,"Cape of Good Films, Abundantia Entertainment, Lyca Productions",25-10-2022,"Action, Thriller",Abhishek Sharma,144,VgGgYOzNWno,Ram Setu | Official Trailer | Hindi | Akshay Kumar | Only in Theatres 25th Oct 2022,Zee Studios,2022-10-11,43035443,783816,47749,50,0.2672,0.5291,13.757777777777777,67.43552811607532,6.016666666666667,9.481590460335283
Chhichhore,2019,Hindi,7.32,"Nadiadwala Grandson Entertainment, Fox Star Studios",06-09-2019,"Comedy, Drama",Nitesh Tiwari,145,tsxemFX0a7k,Chhichhore | Official Trailer | Nitesh Tiwari | Sushant | Shraddha | Sajid Nadiadwala | 6th Sept,Star Studios,2019-08-04,51976493,803958,21779,0,,,10.703333333333335,50.0855417531664,8.663776988636364,15.630749131525878
Ittefaq,2017,Hindi,20.42,"Dharma Productions, Red Chillies Entertainment, B.R. Studios",14-02-2017,Thriller,Sanjay Khanna,107,mvfvoCdPrII,"Ittefaq | Trailer | Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna",Red Chillies Entertainment,2017-10-05,24081348,206222,11380,0,,,9.3215,42.23639277527201,8.663776988636364,15.630749131525878
Jersey,2022,Hindi,2.93,"Brat Films Production, Dil Raju Productions, Allu Entertainment, Sithara Entertainments",22-04-2022,"Family, Sports",Gowtam Tinnanauri,170,9hZ2UW6Jv-I,Jersey - New Official Trailer | Shahid Kapoor | Mrunal Thakur | Gowtam Tinnanuri | 22nd April 2022,Zee Music Company,2022-04-04,56375543,254687,12171,50,0.3406,0.5106,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Mardaani 2,2019,Hindi,3.8,Yash Raj Films,13-12-2019,"Action, Crime",Gopi Puthran,105,dKeRIOA28Jk,Mardaani 2 | Official Trailer | Rani Mukerji | Vishal Jethwa | Gopi Puthran,YRF,2019-11-14,22644360,411521,16813,50,0.4281,0.5783,19.490714285714287,100.0,8.663776988636364,15.630749131525878
Mission Raniganj,2023,Hindi,2.8,"Pooja Entertainment India Ltd., Ajay Kapoor Productions",06-10-2023,"Biographical, Thriller",Tinu Suresh Desai,138,QFf91hnpClI,Mission Raniganj: The Great Bharat Rescue | Official Trailer | Akshay Kumar | In Cinemas 6th October,Pooja Entertainment,2023-09-25,57661357,318145,12315,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Sky Force,2025,Hindi,15.3,"Maddock Films, Jio Studios",24-01-2025,"Action, Patriotic","Sandeep Kewlani, Abhishek Anil Kapur",125,OdrOp7JwZiE,"Rang | Sky Force | Akshay Kumar, Veer P, Sara, Nimrat, Tanishk, Satinder Sartaaj, Zahrah, Shloke",Saregama Music,2025-01-17,57670524,305097,6013,50,0.4658,0.6369,14.695833333333335,72.76391152345468,8.663776988636364,15.630749131525878
Nishaanchi,2025,Hindi,0.2,"Jar Pictures, Amazon MGM Studios, Flip Films",19-09-2025,"Action, Drama",Anurag Kashyap,176,QKem0b7Q40I,Nishaanchi - Official Trailer | In Cinemas - September 19 | Amazon MGM Studios India,MGM Studios India,2025-09-03,25335679,16783,578,50,0.4152,0.50055,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Milan Talkies,2019,Hindi,0.15,Filmy Keeda Productions,15-03-2019,Drama,Tigmanshu Dhulia,141,Efl-kaJjalk,"Milan Talkies - Theatrical Trailer | Tigmanshu D, Ali Fazal, Shraddha Srinath, Ashutosh R, Sanjay M",Zee Music Company,2019-03-04,12967871,13352,488,50,0.6009,0.67765,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Nazar Andaaz,2022,Hindi,0.001,"T-Series Super Cassettes Industries Ltd., Kathputli Creations",07-10-2022,"Comedy, Drama",Vikrant Deshmukh,103,quS0KgQzCQ0,ANDAAZ 2 | Official Trailer | Aayush Kumar | Aakaisha | Natasha Fernandez | Suneel Darshan #andaaz2,Shree Krishna International,2025-07-28,10047267,64537,7090,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Luka Chuppi,2019,Hindi,8.01,Maddock Films,01-03-2019,"Comedy, Romance",Laxman Utekar,126,#NAME?,"Luka Chuppi Official Trailer | Kartik Aaryan, Kriti Sanon, Dinesh Vijan, Laxman Utekar | Mar 1",Maddock Films,2019-01-24,69319545,972276,25857,0,,,12.235454545454546,58.78836238720199,14.833333333333334,29.962445313407414
Beiimaan Love,2016,Hindi,0.7,Avanti Films Pvt Ltd.,14-10-2016,"Crime, Drama",Rajeev Chaudhari,120,VkMG5z-5Tjo,"Main Adhoora  | Beiimaan Love| Sunny Leone | Aakanksha Sharma , Sanjiv Darshan",Zee Music Company,2016-09-02,168886463,463750,6463,16,0.4202,0.51045,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Sonu Ke Titu Ki Sweety,2018,Hindi,6.42,"Luv Films, T-Series Super Cassettes Industries Ltd.",23-02-2018,"Comedy, Drama",Luv Ranjan,140,j1eogRUC-r8,"Sonu Ke Titu Ki Sweety Official Trailer | Luv Ranjan | Kartik Aaryan, Nushrat Bharucha, Sunny Singh",Luv Films,2019-12-11,966018,10253,118,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878
Partition: 1947,2017,Hindi,10.43,Reliance Entertainment,18-08-2017,Drama,Gurinder Chadha,106,YGb2W3USPBU,PARTITION:1947 | OFFICIAL TRAILER | 18th August 2017 | GURINDER CHADHA | A. R. RAHMAN | HUMA QURESHI,RelianceEntertainment,2017-06-29,7195479,62280,3891,48,0.2145,0.2846,9.027692307692307,40.567493717661755,8.663776988636364,15.630749131525878
Kaagaz 2,2024,Hindi,0.02,"The Satish Kaushik Entertainment, Venus Worldwide Entertainment",01-03-2024,"Social, Drama",V.K. Prakash,125,6DqSLijSY9I,"Kaagaz Movie Trailer | Pankaj Tripathi, Satish Kaushik | A ZEE5 Original Film | Streaming on ZEE5",ZEE5,2020-12-24,13124638,267629,8967,50,0.6099,0.7935,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
Jia aur Jia,2017,Hindi,2.9,Trilogic Digital Media Limited,27-10-2017,Drama,Howard Rosemeyer,92,Ckcj1x7oY6A,Jia Aur Jia Official Trailer | Richa Chadha | Kalki Koechlin | Arslan | Howard Rosemeyer | 27 Oct,Connecting Bollywood AB,2017-09-27,4338822,12074,427,50,0.4444,0.5719,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
The Bengal Files,2025,Hindi,1.5,Abhishek Agarwal Arts,05-09-2025,"Social, Drama",Vivek Agnihotri,204,hYpdzoO4wz8,THE BENGAL FILES Teaser | Vivek Agnihotri | Abhishek A | Pallavi J | In Cinemas 5 Sept 2025,Abhishek Agarwal Arts,2025-06-12,578974,24841,2121,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878
