Title,Year,Language,Day1_collection_cr,Production Company,Genre,Director,Runtime (min),trailer_title,channel_name,video_id,viewCount,likeCount,commentCount,comments_collected,avg_sentiment,median_sentiment,Production_House_Score_Raw,Production_House_Score,Director_Score_Raw,Director_Score,Genre_Drama,Genre_Comedy,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Crime,Genre_Other,Release_Year,Release_Month,Release_Day_of_Week,Promotion_Duration_Days
Raabta,2017,Hindi,5.61,"Maddock Films, T-Series Super Cassettes Industries Ltd.","Action, Romance",Dinesh Vijan,154,iANrABfxJaM,Raabta Official Trailer | Sushant Singh Rajput & Kriti Sanon,Global Entertainment,129,1,0,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,0,0,1,0,1,0,0,2017,6,4,33
Dobaara: See Your Evil,2017,Hindi,0.46,"B4U Motion Pictures, Relativity Media, Zahhak Films, Intrepid Pictures","Horror, Thriller",Prawaal Raman,131,eFBmE0RTmr0,"Dobaara - See Your Evil | Official Trailer | Huma Qureshi, Saqib Saleem",B4U Motion Pictures,10791712,58324,4027,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,1,0,0,1,2017,6,4,24
Hate Story 4,2018,Hindi,3.76,T-Series Super Cassettes Industries Ltd.,"Adult, Thriller",Vishal Pandya,130,g51mrP8XmAQ,"HATE STORY 4 (Full Movie): Urvashi Rautela, Vivan, Karan Wahi, Ihana Dhillon, Gulshan Grover",T-Series,8495985,100074,3095,0,,,8.906391304347826,39.87847455489328,3.3099999999999996,3.1940841689573727,0,0,0,1,0,0,1,2018,3,4,0
Falooda,2018,Hindi,0.006,Dev Gayati Entertainment,Drama,Dheeraj Singh,122,7aXuoVfgqgs,Falooda - Refreshing Cold Beverage - Restaurant Style Falooda - Summer Special By Ruchi Bharani,Rajshri Food,2508210,16663,493,50,0.5899,0.61215,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2018,5,4,1267
The Legacy of Jineshwar,2024,Hindi,0.05,Mahaveer Talkies,Drama,"Pradeep P. Jadhav , Vivek Iyer",119,C7V1qgEHi3c,Ã ÂªÂ¦Ã ÂªÂ¾Ã ÂªÂ°Ã ÂªÂ¸ | Daras | Javed Ali |The Legacy Of Jineshwar | New Jain Song,Saregama Jain Stavans,229941,1020,69,28,-0.1143,-0.296,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2024,4,4,185
Thackeray,2019,Hindi,6.0,"Viacom 18 Motion Pictures, Carnival Motion Pictures, Rauters Entertainment","Biographical, Drama",Abhijit Panse,138,Qqpl_sAcQF8,"Thackeray | Official Trailer | Nawazuddin Siddiqui, Amrita Rao | Releasing 25th January",Viacom18 Studios,35609845,672673,32397,50,0.4831,0.59715,7.208999999999999,30.236879653234688,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2019,1,4,30
Hanuman vs Mahiravana,2018,Hindi,0.9,"Gamaya, Green Gold Animation",Animation,Ezhil Vendan,91,llXo_d0UKZw,Hanuman Vs Mahiravana 3D Movie - Theatrical Trailer | In Cinemas 6th July,Green Gold TV - Official Channel,5723918,6599,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,0,0,1,2018,7,4,28
Kuch Khattaa Ho Jaay,2024,Hindi,0.25,Mach Films,"Family, Drama",G Ashok,125,cFPB7FsdplI,"Kuch Khattaa Ho Jaay (Trailer): Guru Randhawa, Saiee M Manjrekar | Anupam Kher | G Ashok |Mach Films",T-Series,6909974,146751,7495,50,0.4799,0.771,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2024,2,4,9
Dangal,2016,Hindi,29.78,"Aamir Khan Productions, Disney India Studio","Biographical, Sports",Nitesh Tiwari,161,x_7YlGv9u1g,"Dangal | Official Trailer | Aamir Khan | In Cinemas Dec 23, 2016",UTV Motion Pictures,74045917,431305,30623,50,0.3813,0.44105,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,0,0,1,2016,12,4,64
Saiyaara,2025,Hindi,22.0,Yash Raj Films,"Romance, Drama",Mohit Suri,156,BSJa1UytM8w,"Saiyaara Title Song | Ahaan Panday, Aneet Padda | Tanishk Bagchi, Faheem A, Arslan N | Irshad Kamil",YRF,507377132,3935476,148321,50,0.5909,0.7611,19.490714285714287,100.0,13.106666666666664,25.951449920631845,1,0,0,0,1,0,0,2025,7,4,45
Dil Jo Na Keh Saka,2017,Hindi,1.1,"PVR Pictures, Diyas Productions Pvt. Ltd",Romance,Naresh Lalwani,130,e19JCfGEbRk,Dil Jo Na Keh Saka | Himansh Kohli | Priya Banerjee | Naresh Lalwani | Full Movie,Shemaroo,7798405,57128,557,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,1,0,0,2017,11,4,0
Bengal 1947,2024,Hindi,0.03,Platoon Distribution,"Period, Drama",Akashaditya Lama,0,3MfsZFAeNO8,THE BENGAL FILES Official Trailer | Vivek Agnihotri | Abhishek A | Pallavi J | Zee Studios | 5 Sept,Zee Studios,21883747,408142,39756,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2024,3,4,0
Three of Us,2023,Hindi,0.3,"Allu Entertainment, Matchbox Shots",Drama,Avinash Arun Dhaware,100,i36Zw32GfRQ,Reminders of Him | Official Trailer,Universal Pictures,21845017,21417,904,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2023,11,4,0
Raid 2,2025,Hindi,19.71,"Panorama Studios, T-Series Super Cassettes Industries Ltd.","Crime, Thriller",Rajkumar Gupta,139,PQ6yUHHfZ04,The Raid 2 | Official Trailer HD (2014),Sony Pictures Classics,1085683,5564,182,50,0.3607,0.42115,8.906391304347826,39.87847455489328,10.616666666666667,20.167253861938136,0,0,0,1,0,1,0,2025,5,3,4116
The Diplomat,2025,Hindi,4.03,"JA Entertainment Pvt. Ltd., T-Series Super Cassettes Industries Ltd., Wakaoo Films, Seeta Films, Fortune Pictures","Action, Thriller",Shivam Nair,137,lV6sJlBbhPs,The Diplomat | Official Trailer | Netflix,Netflix,3122966,21240,1120,50,0.703,0.77425,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,0,0,1,1,0,0,0,2025,3,4,709
Shaadi Mein Zaroor Aana,2017,Hindi,0.75,"Soham Rockstar Entertainment, Soundrya Productions","Comedy, Drama",Ratnaa Sinha,137,pK0dr5wZ0bk,"Shaadi Mein Zaroor Aana (2017) Full Hindi Movie (4K) Rajkumar Rao, Kriti Kharbanda | Bollywood Movie",Ultra Movie Parlour,76580584,887585,33563,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2017,11,4,0
12th Fail,2023,Hindi,1.1,"Vidhu Vinod Chopra Productions, Zee Studios","Biographical, Drama",Vidhu Vinod Chopra,147,KjbtuqENvVE,"12th Fail - Official Trailer | Vidhu Vinod Chopra | In Cinemas Worldwide 27th October, 2023",Zee Studios,25437577,204002,6919,50,0.4413,0.6369,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2023,10,4,24
Selfiee,2023,Hindi,3.0,"Star Studio, Dharma Productions, Cape of Good Films, Prithviraj Productions","Drama, Comedy",Raj Mehta,143,Ec2yJUY5KtQ,"SELFIEE Official Trailer | Akshay Kumar, Emraan, Nushrratt, Diana | Raj Mehta | In Cinemas Feb 24",Star Studios,37599401,580803,38446,50,0.2041,0.1351,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2023,2,4,33
Great Grand Masti,2016,Hindi,2.5,"Maruti International, ALT Entertainment, Shri Adhikari Bros","Adult, Comedy",Indra Kumar,133,ZojV0FC-KdI,"Great Grand Masti Official Trailer | Riteish, Vivek, Aftab, Urvashi",balajimotionpictures,23229664,57111,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,1,0,0,0,0,1,2016,7,4,29
Mere Desh Ki Dharti,2022,Hindi,8.5,Carnival Motion Pictures,"Drama, Patriotic",Faraz Haider,124,vC73sFPIFzU,Mere Desh Ki Dharti Full Movie HD - CARNIVAL MOTION PICTURES,Carnival Motion Pictures,12932508,207152,7260,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2022,5,4,0
Rashtra Kavach Om,2022,Hindi,1.5,"Paperdoll Entertainment, Zee Studios","Action, Thriller",Kapil Verma,135,coJrnPbbmwg,Rashtra Kavach Om | Official Trailer | Watch Now on ZEE5,ZEE5,23911008,10217,269,0,,,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,0,0,1,1,0,0,0,2022,7,4,0
Andhadhun,2018,Hindi,2.7,"Matchbox Pictures, Viacom 18 Motion Pictures","Drama, Crime, Suspense, Thriller",Sriram Raghavan,139,2iVYI99VGaw,AndhaDhun | Official Trailer | Tabu | Ayushmann Khurrana | Radhika Apte | 5th October,Viacom18 Studios,28515281,243765,9016,0,,,7.208999999999999,30.236879653234688,8.663776988636364,15.630749131525878,1,0,0,1,0,1,1,2018,10,4,34
Chhaava,2025,Hindi,31.0,Maddock Films,"Historical, Drama",Laxman Utekar,161,nsC5PhXS19Y,Chhaava Teaser | Vicky Kaushal | Rashmika M | Akshaye K | Dinesh V | Laxman U | 14th Feb 2025,Maddock Films,30883926,506567,24108,50,0.3411,0.4496,12.235454545454546,58.78836238720199,14.833333333333334,29.962445313407414,1,0,0,0,0,0,1,2025,2,4,179
Jigra,2024,Hindi,4.55,"Dharma Productions, Eternal Sunshine Productions, Viacom18 Studio","Action, Drama",Vasan Bala,155,1z64b54DKEI,NEW MOVIE | JIGRA - OFFICIAL THEATRICAL TRAILER | Alia Bhatt | Vedang Raina | Vasan Bala,StyleWave Studios,2643,64,0,0,,,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2024,10,4,30
Gali Guleiyan,2018,Hindi,0.1,Exstant Motion Pictures,Drama,Dipesh Jain,117,itPkmai3BY8,Gali Guleiyan - In the Shadows | India Official Trailer | Manoj Bajpayee | Dipesh Jain | 7th Sept,Worldwide Records INDIA,470275,6707,214,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2018,9,4,14
Adipurush,2023,Hindi,36.0,"T-Series Super Cassettes Industries Ltd., Retrophiles Productions","Mythological, Drama",Om Raut,179,jF5rJAXUY4A,Adipurush (Official Teaser) Hindi | Prabhas | Saif Ali Khan | Kriti Sanon | Om Raut | Bhushan Kumar,T-Series,110377936,1795732,91103,50,0.2517,0.39135,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2023,6,4,257
Tu Jhoothi Main Makkaar,2023,Hindi,15.73,"T-Series Super Cassettes Industries Ltd., Luv Films","Romance, Comedy",Luv Ranjan,159,2yeRRm9AIxI,"Pyaar Hota Kayi Baar Hai (Full video) Tu Jhoothi Main Makkaar |Ranbir,Shraddha,Pritam,Arijit,Amitabh",T-Series,151659581,628295,9009,50,0.4825,0.65765,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,0,1,0,0,1,0,0,2023,3,2,0
Bell Bottom,2021,Hindi,20.92,"Pooja Entertainment India Ltd., Emmay Entertainment Pvt. Ltd","Action, Thriller",Ranjit M Tewari,125,A6eZ49O67YQ,"BellBottom | Official Trailer | Akshay Kumar | Vaani | Vashu, Jackky Bhagnani | Huma | Aug 19, 2021",Pooja Entertainment,53809097,857219,111266,50,0.4119,0.4019,11.366249999999999,53.85106944096942,8.663776988636364,15.630749131525878,0,0,1,1,0,0,0,2021,8,3,16
Sarfira,2024,Hindi,2.5,"Cape of Good Films, Abundantia Entertainment, 2D Entertainment","Biographical, Drama",Sudha Kongara,155,8Iy2geJD8HY,Sarfira Ã¢ÂÂ Official Trailer | Akshay Kumar | Paresh Rawal | Radhikka | Sudha Kongara | 12th July 2024,Abundantia Entertainment,83804275,812431,34804,50,0.2499,0.44015,13.757777777777777,67.43552811607532,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2024,7,4,24
Kesari,2019,Hindi,21.06,"Dharma Productions, Cape of Good Films, Azure Entertainment, Zee Studios","Drama, Action, Patriotic, Period",Anurag Singh,150,JFP24D15_XM,Kesari | Official Trailer | Akshay Kumar | Parineeti Chopra | Anurag Singh,Dharma Productions,62115716,1209451,79769,50,0.4315,0.65885,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,1,0,1,0,0,0,1,2019,3,3,28
Yaatris,2023,Hindi,0.03,"Akion Entertainment, Thinking Bird Production","Family, Drama",Harish Vyas,108,N2aoN5pZ6lo,Yaatris - Official Trailer | Raghubir Yadav| Seema Pahwa| Jamie Lever |Anuraag Malhan|Chahatt Khanna,Zee Music Company,278462,908,54,41,0.4832,0.5994,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2023,11,4,16
Dear Dad,2016,Hindi,0.22,Peppermint Studios,Drama,Tanuj Bhramar,95,X7Bt9kjCf0E,"Dear Father Gujarati Movie | Official Trailer | Paresh Rawal, Mansi Parekh, Chetan Dhanani",Venus Movies,1693481,31298,967,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2016,5,4,0
October,2018,Hindi,4.25,Rising Sun Films Production,"Drama, Romance",Shoojit Sircar,115,Mod_oXpftJA,"Thamma Official Trailer | Ayushmann, Rashmika, Paresh, Nawazuddin | In Cinemas This Diwali- 21st Oct",Maddock Films,90154797,670316,43463,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,1,0,0,2018,4,4,0
Mahavatar Narsimha,2025,Hindi,1.46,Kleem Productions,"Mythological, Drama",Ashwini Kumar,131,wkOYEhjAXyo,"Mahavatar Narsimha Official Teaser (Hindi) | Hombale Films | Kleem Productions | April 3, 2025",Hombale Films,3167136,133924,4669,50,0.2234,0.0,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2025,7,4,192
Ek Ladki Ko Dekha Toh Aisa Laga,2019,Hindi,3.3,"Vidhu Vinod Chopra Productions, Fox Star Studios, Rajkumar Hirani Films","Drama, Romance",Shelly Chopra Dhar,120,fTauOK8J-U8,Ek Ladki ko dekha - Full Video HD | 1942 A love story | Anil Kapoor | Manisha Koirala,Vidhu Vinod Chopra Films,50219792,333614,8961,47,0.4204,0.4767,10.703333333333335,50.0855417531664,8.663776988636364,15.630749131525878,1,0,0,0,1,0,0,2019,2,4,1022
Tu Hai Mera Sunday,2017,Hindi,0.1,Love And Faith Films,Drama,Milind Dhaimade,126,W3cgHjja-X0,TU HAI MERA SUNDAY (YOU ARE MY SUNDAY) :: IN CINEMAS 6 OCTOBER 2017 (SG),Golden Village Pictures,6063,17,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2017,10,4,23
Tumko Meri Kasam,2025,Hindi,0.5,Indira Entertainment,"Biographical, Thriller",Vikram Bhatt,166,YzUP-V5-lhI,"Tumko Meri Kasam - Official Trailer | Anupam Kher, Adah Sharma, Ishwak Singh, Esha Deol | 21st March",Zee Music Company,10824145,62636,4458,50,0.3223,0.39185,7.963697641509434,34.523745571560404,2.35,0.9640326764489524,0,0,0,1,0,0,1,2025,3,4,17
Coffee with D,2017,Hindi,0.15,Apex Entertainment,Comedy,Vishal Mishra,123,y_bdytr9fg8,Coffee With D Official Trailer | Sunil Grover | Hindi Trailer 2021 | Zakir Khan | Anjana Sukhani,Bolly Kick,770541,9698,174,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,1,0,0,0,0,0,2017,1,4,0
Ajmer 92,2023,Hindi,1.0,"Reliance Entertainment, U&K Films Entertainment, Sumit Motion Pictures, Little Crew Pictures Production","Crime, Drama",Pushpendra Singh,0,HxJu7cV_VYI,Ajmer 92|Official Teaser|Karan Verma|Pushpendra Singh|Sumit Singh|U&K Films Entertainment|21 July,RelianceEntertainment,495856,9869,897,50,0.3116,0.46715,9.027692307692307,40.567493717661755,8.663776988636364,15.630749131525878,1,0,0,0,0,1,0,2023,7,4,8
Mitron,2018,Hindi,119.1193,Abundantia Entertainment,"Comedy, Drama",Nitin Kakkar,119,Wm2R3aJPY2M,MetroÃ¢ÂÂ¦In Dino (Official Trailer) | Anurag Basu | Bhushan Kumar | Releasing in Cinemas on 4th July,T-Series,34377610,445612,16754,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2018,9,4,0
Saina,2021,Hindi,0.05,"T-Series Super Cassettes Industries Ltd., Front Foot Pictures","Biographical, Sports",Amole Gupte,133,_PGEsEe33GY,"Saina - New Trailer | Parineeti Chopra, Eshan Naqvi, Shubhrajyoti Barat |Amazon Prime Video|April 23",Prime Video India,4257939,2638,159,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,0,0,0,0,0,0,1,2021,3,4,0
Game Over,2017,Hindi,0.03,"Dream Machine Pvt. Ltd., Koning Entertainment, Dream International","Suspense, Adult, Thriller",Paresh Vinodray Savani,143,BY-R6NcnkbE,Game Over| Hindi Official Trailer | Taapsee Pannu| Ashwin Saravanan | Y Not Studios | June 14,RelianceEntertainment,11216332,94755,2789,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,1,0,0,1,2017,12,4,0
Emergency,2025,Hindi,2.0,"Manikarnika Films, Zee Studios","Historical, Drama",Kangana Ranaut,148,ZWu2jk7IYv0,"Emergency | Official Trailer 2 |  Kangana Ranaut | In Cinemas 17th January, 2025",Zee Studios,12005376,58699,4826,50,0.3344,0.6114,11.320843333333334,53.59314854511398,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2025,1,4,11
3 Storeys,2018,Hindi,0.36,"B4U Motion Pictures, Excel Entertainment, An Open Air Films Production","Drama, Romance, Suspense, Thriller",Arjun Mukerjee,100,niGkWc512fw,3 Storeys Official Trailer | Richa | Renuka Shahane | Pulkit | Masumeh | Sharman | Ankit | Aisha,Excel Movies,4828099,14176,448,50,0.4171,0.59265,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,1,1,0,1,2018,3,4,30
Metro... In Dino,2025,Hindi,3.35,"T-Series Super Cassettes Industries Ltd., Anurag Basu Productions","Romance, Drama",Anurag Basu,162,UEZm0U6KrfY,"MetroÃ¢ÂÂ¦In Dino: Zamaana Lage (Song) | Anurag Basu | Pritam | Arijit Singh, Shashwat S | Bhushan Kumar",T-Series,60671663,605123,29363,0,,,8.906391304347826,39.87847455489328,5.96,9.349955476402494,1,0,0,0,1,0,0,2025,7,4,37
Trahimam,2022,Hindi,0.005,"Achleshwar Film, Dushyant Corporation","Action, Drama",Dushyant Pratap Singh,74,jgOi9JB4-KI,Trahimam (Trailer) Arshi Khan Pankaj Berry Directed By Dushyant Pratap Singh,Dushyant Corporation,34218,279,14,9,0.7014,0.7783,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2022,12,4,45
102 Not Out,2018,Hindi,3.52,"Benchmark Pictures, Treetop Entertainment, Sony Pictures","Comedy, Drama, Family",Umesh Shukla,102,qrks9Zu0f1w,102 Not Out | Official Trailer | Amitabh Bachchan | Rishi Kapoor | Umesh Shukla | In Cinemas May 4th,Sony Pictures India,17680514,192538,6501,50,0.6237,0.717,7.963697641509434,34.523745571560404,1.935,0.0,1,1,0,0,0,0,1,2018,5,4,37
Evening Shadows,2019,Hindi,0.02,Solaris Pictures,Drama,Sridhar Rangayan,102,iDpqasfWF9k,EVENING SHADOWS | OFFICIAL TRAILER | SRIDHAR RANGAYAN,Solaris Pictures,203938,2141,370,50,0.6495,0.7933,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2019,1,4,594
Noor,2017,Hindi,0.02,"T-Series Super Cassettes Industries Ltd., Abundantia Entertainment","Drama, Social",Sunhil Sippy,116,DHuM6C6EyXE,Noor Official Trailer | Sonakshi Sinha | Sunhil Sippy | Releasing on 21 April 2017 | T-Series,T-Series,14335208,59091,2839,50,0.5605,0.66645,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2017,4,4,45
Do Aur Do Pyaar,2024,Hindi,0.6,"Applause Entertainment, Ellipsis Entertainment","Family, Drama",Shirsha Guha Thakurta,139,lZCWcsfc5Ho,"Do Aur Do Pyaar - Official Trailer | Vidya B, Pratik G, Ileana D, Sendhil R | Applause Entertainment",Applause Entertainment,17230817,29048,651,50,0.5737,0.7676,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2024,4,4,13
Lakadbaggha,2023,Hindi,0.11,First Ray Films,"Action, Drama",Victor Mukherjee,129,hep-UIKFg_Y,"Lakadbaggha - Official Trailer | Anshuman Jha, Ridhi Dogra, Milind Soman & Paresh Pahuja | 13th Jan",Zee Music Company,3582376,87777,3080,50,0.4133,0.5915,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2023,1,4,10
Baar Baar Dekho,2016,Hindi,0.1,"Dharma Productions, Excel Entertainment, Eros International",Comedy,Nitya Mehra,141,3uPtQp8ZT-Q,Baar Baar Dekho Official Trailer with English Subtitles | Katrina Kaif | Sidharth Malhotra,Eros n0w Official,645979,9336,220,0,,,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,0,1,0,0,0,0,0,2016,9,4,37
5 Weddings,2018,Hindi,94.943,UniGlobe Entertainment,"Comedy, Drama",Namrata Singh Gujral,94,gN7AeJ-mEIA,"'5 Weddings' | 26 OCT |  Nargis Fakhri, Rajkummar Rao, Bo Derek, Candy Clark",UniGlobe Entertainment,10772443,74672,0,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2018,10,4,143
I Want to Talk,2024,Hindi,0.2,"Rising Sun Films Production, Kino Works","Biographical, Drama",Shoojit Sircar,122,kZXlMsupVz8,I Want To Talk - Trailer | Shoojit Sircar | Abhishek A Bachchan | Rising Sun Films | Kino Works,Times Music,877384,11056,560,50,0.5705,0.6369,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2024,11,4,17
Bharat,2019,Hindi,42.3,"T-Series Super Cassettes Industries Ltd., Salman Khan Films, Reel Life Production Pvt Ltd","Family, Drama",Ali Abbas Zafar,167,Ea_GKoe81GY,BHARAT | Official Trailer | Salman Khan | Katrina Kaif | Movie Releasing On 5 June 2019,T-Series,78821846,1293204,87903,50,0.4278,0.60335,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,1,0,0,0,0,0,1,2019,6,2,44
Ram Setu,2022,Hindi,15.25,"Cape of Good Films, Abundantia Entertainment, Lyca Productions","Action, Thriller",Abhishek Sharma,144,VgGgYOzNWno,Ram Setu | Official Trailer | Hindi | Akshay Kumar | Only in Theatres 25th Oct 2022,Zee Studios,43035443,783816,47749,50,0.2672,0.5291,13.757777777777777,67.43552811607532,6.016666666666667,9.481590460335283,0,0,1,1,0,0,0,2022,10,1,14
Chhichhore,2019,Hindi,7.32,"Nadiadwala Grandson Entertainment, Fox Star Studios","Comedy, Drama",Nitesh Tiwari,145,tsxemFX0a7k,Chhichhore | Official Trailer | Nitesh Tiwari | Sushant | Shraddha | Sajid Nadiadwala | 6th Sept,Star Studios,51976493,803958,21779,0,,,10.703333333333335,50.0855417531664,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2019,9,4,33
Ittefaq,2017,Hindi,20.42,"Dharma Productions, Red Chillies Entertainment, B.R. Studios",Thriller,Sanjay Khanna,107,mvfvoCdPrII,"Ittefaq | Trailer | Sidharth Malhotra, Sonakshi Sinha, Akshaye Khanna",Red Chillies Entertainment,24081348,206222,11380,0,,,9.3215,42.23639277527201,8.663776988636364,15.630749131525878,0,0,0,1,0,0,0,2017,2,1,0
Jersey,2022,Hindi,2.93,"Brat Films Production, Dil Raju Productions, Allu Entertainment, Sithara Entertainments","Family, Sports",Gowtam Tinnanauri,170,9hZ2UW6Jv-I,Jersey - New Official Trailer | Shahid Kapoor | Mrunal Thakur | Gowtam Tinnanuri | 22nd April 2022,Zee Music Company,56375543,254687,12171,50,0.3406,0.5106,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,0,0,0,1,2022,4,4,18
Mardaani 2,2019,Hindi,3.8,Yash Raj Films,"Action, Crime",Gopi Puthran,105,dKeRIOA28Jk,Mardaani 2 | Official Trailer | Rani Mukerji | Vishal Jethwa | Gopi Puthran,YRF,22644360,411521,16813,50,0.4281,0.5783,19.490714285714287,100.0,8.663776988636364,15.630749131525878,0,0,1,0,0,1,0,2019,12,4,29
Mission Raniganj,2023,Hindi,2.8,"Pooja Entertainment India Ltd., Ajay Kapoor Productions","Biographical, Thriller",Tinu Suresh Desai,138,QFf91hnpClI,Mission Raniganj: The Great Bharat Rescue | Official Trailer | Akshay Kumar | In Cinemas 6th October,Pooja Entertainment,57661357,318145,12315,0,,,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,0,0,0,1,0,0,1,2023,10,4,11
Sky Force,2025,Hindi,15.3,"Maddock Films, Jio Studios","Action, Patriotic","Sandeep Kewlani, Abhishek Anil Kapur",125,OdrOp7JwZiE,"Rang | Sky Force | Akshay Kumar, Veer P, Sara, Nimrat, Tanishk, Satinder Sartaaj, Zahrah, Shloke",Saregama Music,57670524,305097,6013,50,0.4658,0.6369,14.695833333333335,72.76391152345468,8.663776988636364,15.630749131525878,0,0,1,0,0,0,1,2025,1,4,7
Nishaanchi,2025,Hindi,0.2,"Jar Pictures, Amazon MGM Studios, Flip Films","Action, Drama",Anurag Kashyap,176,QKem0b7Q40I,Nishaanchi - Official Trailer | In Cinemas - September 19 | Amazon MGM Studios India,MGM Studios India,25335679,16783,578,50,0.4152,0.50055,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,1,0,0,0,0,2025,9,4,16
Milan Talkies,2019,Hindi,0.15,Filmy Keeda Productions,Drama,Tigmanshu Dhulia,141,Efl-kaJjalk,"Milan Talkies - Theatrical Trailer | Tigmanshu D, Ali Fazal, Shraddha Srinath, Ashutosh R, Sanjay M",Zee Music Company,12967871,13352,488,50,0.6009,0.67765,7.963697641509434,34.523745571560404,8.663776988636364,15.630749131525878,1,0,0,0,0,0,0,2019,3,4,11
Nazar Andaaz,2022,Hindi,0.001,"T-Series Super Cassettes Industries Ltd., Kathputli Creations","Comedy, Drama",Vikrant Deshmukh,103,quS0KgQzCQ0,ANDAAZ 2 | Official Trailer | Aayush Kumar | Aakaisha | Natasha Fernandez | Suneel Darshan #andaaz2,Shree Krishna International,10047267,64537,7090,0,,,8.906391304347826,39.87847455489328,8.663776988636364,15.630749131525878,1,1,0,0,0,0,0,2022,10,4,0
Luka Chuppi,2019,Hindi,8.01,Maddock Films,"Comedy, Romance",Laxman Utekar,126,#NAME?,"Luka Chuppi Official Trailer | Kartik Aaryan, Kriti Sanon, Dinesh Vijan, Laxman Utekar | Mar 1",Maddock Films,69319545,972276,25857,0,,,12.235454545454546,58.78836238720199,14.833333333333334,29.962445313407414,0,1,0,0,1,0,0,2019,3,4,36
